director,database frequency,idf
William Kaufman,2,7.7536
Will Finn,2,7.7536
Whit Stillman,2,7.7536
Wes Ball,2,7.7536
Werner Herzog,2,7.7536
Wayne Kramer,2,7.7536
Walter Lang,2,7.7536
Vincent Gallo,2,7.7536
Victor Nunez,2,7.7536
Vic Sarin,2,7.7536
Vadim Perelman,2,7.7536
Uli Edel,2,7.7536
Troy Duffy,2,7.7536
Travis Legge,2,7.7536
Tony Richardson,2,7.7536
Tony Kaye,2,7.7536
Tony Goldwyn,2,7.7536
Tommy Wirkola,2,7.7536
Tommy O'Haver,2,7.7536
Tommy Lee Jones,2,7.7536
Tom Vaughan,2,7.7536
Tom McCarthy,2,7.7536
Tom Holland,2,7.7536
Tom Hanks,2,7.7536
Todd Graff,2,7.7536
Todd Field,2,7.7536
Tim Robbins,2,7.7536
Tim McCanlies,2,7.7536
Tim Johnson,2,7.7536
Ti West,2,7.7536
Thomas Bezucha,2,7.7536
Terry Zwigoff,2,7.7536
Teddy Chan,2,7.7536
Ted Post,2,7.7536
Tate Taylor,2,7.7536
Tamra Davis,2,7.7536
Tamara Jenkins,2,7.7536
Takashi Shimizu,2,7.7536
Sylvester Stallone,2,7.7536
Sylvain White,2,7.7536
Susanna White,2,7.7536
Stuart Gordon,2,7.7536
Stuart Baird,2,7.7536
Stewart Raffill,2,7.7536
Steven Zaillian,2,7.7536
Steven Shainberg,2,7.7536
Steven Quale,2,7.7536
Steve Rash,2,7.7536
Steve McQueen,2,7.7536
Steve Martino,2,7.7536
Steve James,2,7.7536
Steve Buscemi,2,7.7536
Steve Boyum,2,7.7536
Steve Beck,2,7.7536
Stephen Norrington,2,7.7536
Stephen Gaghan,2,7.7536
Stephan Elliott,2,7.7536
Stanley Kramer,2,7.7536
Stacy Peralta,2,7.7536
Simon Wells,2,7.7536
Simon Curtis,2,7.7536
Sheldon Lettich,2,7.7536
Shari Springer Berman,2,7.7536
Shane Black,2,7.7536
Sean Penn,2,7.7536
Sean McNamara,2,7.7536
Scott Stewart,2,7.7536
Scott Marshall,2,7.7536
Sanaa Hamri,2,7.7536
Sam Taylor-Johnson,2,7.7536
Sam Miller,2,7.7536
Salim Akil,2,7.7536
Ryan Murphy,2,7.7536
Ryan Coogler,2,7.7536
Rupert Wyatt,2,7.7536
Rowdy Herrington,2,7.7536
Rowan Joffe,2,7.7536
Ron Maxwell,2,7.7536
Roger Avary,2,7.7536
Roger Allers,2,7.7536
Rodrigo García,2,7.7536
Rodrigo Cortés,2,7.7536
Robert Harmon,2,7.7536
Robert Greenwald,2,7.7536
Richard Schenkman,2,7.7536
Richard Kwietniowski,2,7.7536
Richard Glatzer,2,7.7536
Richard Eyre,2,7.7536
Rian Johnson,2,7.7536
Randall Miller,2,7.7536
Rachel Talalay,2,7.7536
Preston A. Whitmore II,2,7.7536
Pierre Coffin,2,7.7536
Phyllida Lloyd,2,7.7536
Philip Kaufman,2,7.7536
Phil Joanou,2,7.7536
Peter Webber,2,7.7536
Peter Lord,2,7.7536
Peter Hedges,2,7.7536
Pete Travis,2,7.7536
Pawel Pawlikowski,2,7.7536
Paul Gross,2,7.7536
Paul Andrew Williams,2,7.7536
Patrick Stettner,2,7.7536
Patrick Read Johnson,2,7.7536
Oren Peli,2,7.7536
Olivier Assayas,2,7.7536
Oliver Hirschbiegel,2,7.7536
Ol Parker,2,7.7536
Nigel Cole,2,7.7536
Nick Love,2,7.7536
Nicholas Meyer,2,7.7536
Nelson McCormick,2,7.7536
Morten Tyldum,2,7.7536
Morgan J. Freeman,2,7.7536
Mike Nawrocki,2,7.7536
Mike Mills,2,7.7536
Mike Flanagan,2,7.7536
Mike Figgis,2,7.7536
Mike Cahill,2,7.7536
Mick Jackson,2,7.7536
Michael Tollin,2,7.7536
Michael Rymer,2,7.7536
Michael Radford,2,7.7536
Michael O. Sajbel,2,7.7536
Michael Mayer,2,7.7536
Michael Lembeck,2,7.7536
Michael Landon Jr.,2,7.7536
Michael Herz,2,7.7536
Michael Dowse,2,7.7536
Michael Cuesta,2,7.7536
Michael Corrente,2,7.7536
Michael Cimino,2,7.7536
Matty Rich,2,7.7536
Mathieu Kassovitz,2,7.7536
Mary Lambert,2,7.7536
Martin Ritt,2,7.7536
Martin McDonagh,2,7.7536
Mark Steven Johnson,2,7.7536
Mark Rosman,2,7.7536
Mark Romanek,2,7.7536
Mark Pellington,2,7.7536
Mark Osborne,2,7.7536
Mark Herman,2,7.7536
Mario Van Peebles,2,7.7536
Marcus Raboy,2,7.7536
Marco Kreuzpaintner,2,7.7536
Lynne Ramsay,2,7.7536
Luis Mandoki,2,7.7536
Luis Llosa,2,7.7536
Lone Scherfig,2,7.7536
Leslie Small,2,7.7536
Lee Toland Krieger,2,7.7536
Lee Daniels,2,7.7536
Lawrence Guterman,2,7.7536
Laurent Tirard,2,7.7536
Larry Clark,2,7.7536
Kurt Wimmer,2,7.7536
Kurt Hale,2,7.7536
Kirk De Micco,2,7.7536
Kevin Tancharoen,2,7.7536
Kevin Spacey,2,7.7536
Kevin Munroe,2,7.7536
Kevin Lima,2,7.7536
Kevin Greutert,2,7.7536
Kevin Bray,2,7.7536
Kevin Allen,2,7.7536
Kenneth Lonergan,2,7.7536
Ken Scott,2,7.7536
Katsuhiro Ôtomo,2,7.7536
Karyn Kusama,2,7.7536
Karen Moncrieff,2,7.7536
Karan Johar,2,7.7536
Justin Chadwick,2,7.7536
Julie Anne Robinson,2,7.7536
Julian Schnabel,2,7.7536
Julian Jarrold,2,7.7536
Julian Gilbey,2,7.7536
Juan José Campanella,2,7.7536
José Padilha,2,7.7536
Josh Trank,2,7.7536
Josh Gordon,2,7.7536
Joseph Zito,2,7.7536
Joseph Kosinski,2,7.7536
Joseph Kahn,2,7.7536
Joon-ho Bong,2,7.7536
Jonas Åkerlund,2,7.7536
Jon Lucas,2,7.7536
Jon Hurwitz,2,7.7536
John Wells,2,7.7536
John Turturro,2,7.7536
John R. Leonetti,2,7.7536
John Polson,2,7.7536
John Luessenhop,2,7.7536
John Huston,2,7.7536
John Herzfeld,2,7.7536
John G. Avildsen,2,7.7536
John Curran,2,7.7536
John Carney,2,7.7536
John A. Davis,2,7.7536
Joel Zwick,2,7.7536
Joe Swanberg,2,7.7536
