actor,database frequency,idf
Cassie Ventura,1,8.4468
Cassandra Peterson,1,8.4468
Caroline Munro,1,8.4468
Caroline Dhavernas,1,8.4468
Carole Bouquet,1,8.4468
Carol Kane,1,8.4468
Carol Block,1,8.4468
Carol Ann Susi,1,8.4468
Carmen Perez,1,8.4468
Carmen Maura,1,8.4468
Carlos Gallardo,1,8.4468
Camren Bicondova,1,8.4468
Cameron Monaghan,1,8.4468
Cameron Bright,1,8.4468
Callie Thorne,1,8.4468
Caleb Landry Jones,1,8.4468
Caitlin Stasey,1,8.4468
Bérénice Bejo,1,8.4468
Bárbara Mori,1,8.4468
Byron Mann,1,8.4468
Buster Keaton,1,8.4468
Burt Young,1,8.4468
Burt Kwouk,1,8.4468
Burl Ives,1,8.4468
Burgess Meredith,1,8.4468
Bunta Sugawara,1,8.4468
Bruno Kirby,1,8.4468
Bruce Payne,1,8.4468
Brooke Shields,1,8.4468
Britney Spears,1,8.4468
Brigitte Helm,1,8.4468
Brigitte Bardot,1,8.4468
Bridgette Wilson-Sampras,1,8.4468
Brianna Brown,1,8.4468
Brian Thompson,1,8.4468
Brian Lee Franklin,1,8.4468
Brian Eno,1,8.4468
Brian Doyle-Murray,1,8.4468
Brian Bosworth,1,8.4468
Brian Austin Green,1,8.4468
Brendan Fehr,1,8.4468
Brendan Doogie Milewski,1,8.4468
Brenda Vaccaro,1,8.4468
Brenda Song,1,8.4468
Brenda Fricker,1,8.4468
Bradley Whitford,1,8.4468
Brad William Henke,1,8.4468
Bobby Lee,1,8.4468
Bobbie Phillips,1,8.4468
Bob Proctor,1,8.4468
Bob Newhart,1,8.4468
Bob Neill,1,8.4468
Bob Balaban,1,8.4468
Bo Huang,1,8.4468
Blanchard Ryan,1,8.4468
Blair Brown,1,8.4468
Birgitte Hjort Sørensen,1,8.4468
Billy West,1,8.4468
Billy Drago,1,8.4468
Billy Campbell,1,8.4468
Bill Maher,1,8.4468
Bill Johnson,1,8.4468
Bill Bailey,1,8.4468
Bianca Kajlich,1,8.4468
Bhole Baba,1,8.4468
Betsy Palmer,1,8.4468
Bernie Casey,1,8.4468
Bernard Fox,1,8.4468
Bernard Cribbins,1,8.4468
Bernadette Peters,1,8.4468
Benoît Magimel,1,8.4468
Benno Fürmann,1,8.4468
Benjamin A. Onyango,1,8.4468
Ben Davies,1,8.4468
Ben Browder,1,8.4468
Belén Rueda,1,8.4468
Bebe Neuwirth,1,8.4468
Beau Mirchoff,1,8.4468
Beau Bridges,1,8.4468
Barry Watson,1,8.4468
Barry Bostwick,1,8.4468
Barack Obama,1,8.4468
Bai Ling,1,8.4468
Bahare Seddiqi,1,8.4468
Ayelet Zurer,1,8.4468
Ava Gardner,1,8.4468
Austin Nichols,1,8.4468
Aunjanue Ellis,1,8.4468
Augustus Prew,1,8.4468
Asin,1,8.4468
Ashley Williams,1,8.4468
Ashley Tramonte,1,8.4468
Ashley Scott,1,8.4468
Ashley Rickards,1,8.4468
Art Hindle,1,8.4468
Armin Mueller-Stahl,1,8.4468
Arliss Howard,1,8.4468
Arjun Rampal,1,8.4468
Ari Folman,1,8.4468
Anwar Congo,1,8.4468
Anupam Kher,1,8.4468
Antony Starr,1,8.4468
Antoni Corone,1,8.4468
Anthony L. Fernandez,1,8.4468
Anthony 'Citric' Campos,1,8.4468
Annabella Sciorra,1,8.4468
Anna Gunn,1,8.4468
Ann-Margret,1,8.4468
Anita Page,1,8.4468
Anil Kapoor,1,8.4468
Anika Noni Rose,1,8.4468
Angus T. Jones,1,8.4468
Angus Scrimm,1,8.4468
Angie Dickinson,1,8.4468
Angell Conwell,1,8.4468
Angelina Armani,1,8.4468
Angeliki Papoulia,1,8.4468
Andy Dick,1,8.4468
Andrew Wilson,1,8.4468
Andrew Robinson,1,8.4468
Andrea Corr,1,8.4468
Anamaria Marinca,1,8.4468
Ana de la Reguera,1,8.4468
Amy Schumer,1,8.4468
Amir Talai,1,8.4468
Ami Ayalon,1,8.4468
America Olivo,1,8.4468
Amber Valletta,1,8.4468
Amber Stevens West,1,8.4468
Amanda Schull,1,8.4468
Amanda Detmer,1,8.4468
Alyson Stoner,1,8.4468
Alun Armstrong,1,8.4468
Alona Tal,1,8.4468
Alma Martinez,1,8.4468
Ally Walker,1,8.4468
Ally Sheedy,1,8.4468
Allison Dean,1,8.4468
Alicja Bachleda,1,8.4468
Alicia Goranson,1,8.4468
Alice Olivia Clarke,1,8.4468
Alice Greczyn,1,8.4468
Alia Shawkat,1,8.4468
Alexis Dziena,1,8.4468
Alexis Arquette,1,8.4468
Alexia Fast,1,8.4468
Alexandra Maria Lara,1,8.4468
Alex Veadov,1,8.4468
Alex Russell,1,8.4468
Alex Rocco,1,8.4468
Alex Huszar,1,8.4468
Alex Gibney,1,8.4468
Alessandro Nivola,1,8.4468
Aldis Hodge,1,8.4468
Alan Ruck,1,8.4468
Alan Brent,1,8.4468
Alain Delon,1,8.4468
Akshaye Khanna,1,8.4468
Aksel Hennie,1,8.4468
Akon,1,8.4468
Aisha Tyler,1,8.4468
Ahna O'Reilly,1,8.4468
Agnes Moorehead,1,8.4468
Adriana Caselotti,1,8.4468
Adriana Barraza,1,8.4468
Adrian Martinez,1,8.4468
Adam LeFevre,1,8.4468
Adam Arkin,1,8.4468
Abigail Spencer,1,8.4468
Aasif Mandvi,1,8.4468
Aaliyah,1,8.4468
A.J. Buckley,1,8.4468
50 Cent,1,8.4468
