actor,database frequency,idf
Joe Lo Truglio,3,7.3482
Jim Sturgess,3,7.3482
Jim Gaffigan,3,7.3482
Jerry Stiller,3,7.3482
Jenna Fischer,3,7.3482
Jeanne Tripplehorn,3,7.3482
Javier Botet,3,7.3482
Jason Patric,3,7.3482
James Nesbitt,3,7.3482
James Mason,3,7.3482
James Corden,3,7.3482
Jack McBrayer,3,7.3482
Ivana Milicevic,3,7.3482
Isabella Rossellini,3,7.3482
Ian Somerhalder,3,7.3482
Henry Thomas,3,7.3482
Henry Ian Cusick,3,7.3482
Hector Elizondo,3,7.3482
Harry Lennix,3,7.3482
Greta Gerwig,3,7.3482
Gregory Smith,3,7.3482
Goran Visnjic,3,7.3482
Glenn Morshower,3,7.3482
George C. Scott,3,7.3482
Gary Dourdan,3,7.3482
Frank Welker,3,7.3482
Frank Grillo,3,7.3482
Frances Conroy,3,7.3482
Eva Green,3,7.3482
Esai Morales,3,7.3482
Erika Christensen,3,7.3482
Eric Dane,3,7.3482
Elizabeth Daily,3,7.3482
Eddie Griffin,3,7.3482
Dylan Baker,3,7.3482
Drake Bell,3,7.3482
Don Johnson,3,7.3482
Devin Ratray,3,7.3482
Desmond Llewelyn,3,7.3482
Dean Stockwell,3,7.3482
David Hewlett,3,7.3482
David Carradine,3,7.3482
Danny Dyer,3,7.3482
Curtis Armstrong,3,7.3482
Colin Salmon,3,7.3482
Clint Howard,3,7.3482
Christopher Meloni,3,7.3482
Chris Noth,3,7.3482
Chris Brown,3,7.3482
Carmen Electra,3,7.3482
Callum Rennie,3,7.3482
Busy Philipps,3,7.3482
Bruce Dern,3,7.3482
Bojana Novakovic,3,7.3482
Bingbing Li,3,7.3482
Bill Duke,3,7.3482
Bam Margera,3,7.3482
Ari Graynor,3,7.3482
Anna Friel,3,7.3482
Andy Lau,3,7.3482
Alison Brie,3,7.3482
Alice Braga,3,7.3482
Alex Kendrick,3,7.3482
Adam Garcia,3,7.3482
Abbie Cornish,3,7.3482
Zoë Kravitz,2,7.7536
Zoe Kazan,2,7.7536
Zach Gilford,2,7.7536
Willie Garson,2,7.7536
William Smith,2,7.7536
William Holden,2,7.7536
Vidya Balan,2,7.7536
Tyler James Williams,2,7.7536
Tony Goldwyn,2,7.7536
Tom Everett Scott,2,7.7536
Tom Cullen,2,7.7536
Tom Berenger,2,7.7536
Toby Stephens,2,7.7536
