term,database frequency,idf
tsunami,5,6.8373
triad,5,6.8373
trapped,5,6.8373
tragedy,5,6.8373
tough girl,5,6.8373
time travel romance,5,6.8373
time loop,5,6.8373
tied to a chair,5,6.8373
therapist,5,6.8373
thanksgiving,5,6.8373
terrorism,5,6.8373
terminal illness,5,6.8373
teleportation,5,6.8373
telephone,5,6.8373
taxi,5,6.8373
tattoo,5,6.8373
surveillance,5,6.8373
summer camp,5,6.8373
strip club,5,6.8373
street,5,6.8373
stranger,5,6.8373
stand up comedian,5,6.8373
stage,5,6.8373
speech,5,6.8373
special forces,5,6.8373
spain,5,6.8373
space travel,5,6.8373
son,5,6.8373
sociopath,5,6.8373
smuggling,5,6.8373
slum,5,6.8373
six word title,5,6.8373
single set production,5,6.8373
shooting,5,6.8373
search,5,6.8373
science,5,6.8373
sailor,5,6.8373
sabotage,5,6.8373
rural setting,5,6.8373
robber,5,6.8373
rebel,5,6.8373
reality,5,6.8373
real estate,5,6.8373
punishment,5,6.8373
publicist,5,6.8373
protective male,5,6.8373
private school,5,6.8373
pregnant,5,6.8373
prayer,5,6.8373
political thriller,5,6.8373
police brutality,5,6.8373
poem,5,6.8373
playwright,5,6.8373
playboy,5,6.8373
play,5,6.8373
place name in title,5,6.8373
pimp,5,6.8373
photography,5,6.8373
photograph,5,6.8373
passenger,5,6.8373
park,5,6.8373
pantyhose,5,6.8373
outcast,5,6.8373
oregon,5,6.8373
new year's eve,5,6.8373
nerd,5,6.8373
near death experience,5,6.8373
nasa,5,6.8373
mutiny,5,6.8373
monkey,5,6.8373
monk,5,6.8373
monastery,5,6.8373
mockumentary,5,6.8373
mixed martial arts,5,6.8373
misunderstanding,5,6.8373
miner,5,6.8373
marriage proposal,5,6.8373
map,5,6.8373
magical realism,5,6.8373
madea series,5,6.8373
love at first sight,5,6.8373
loss of virginity,5,6.8373
loss of father,5,6.8373
loan shark,5,6.8373
little girl,5,6.8373
lesbian sex,5,6.8373
latino,5,6.8373
killing an animal,5,6.8373
karate,5,6.8373
kansas,5,6.8373
jazz,5,6.8373
iowa,5,6.8373
interracial relationship,5,6.8373
insurance,5,6.8373
insanity,5,6.8373
indian,5,6.8373
identity,5,6.8373
housekeeper,5,6.8373
homoeroticism,5,6.8373
hockey,5,6.8373
historically inaccurate,5,6.8373
hidden camera,5,6.8373
held at gunpoint,5,6.8373
harvard,5,6.8373
hairy chest,5,6.8373
guard,5,6.8373
gothic,5,6.8373
golfer,5,6.8373
golf,5,6.8373
giant,5,6.8373
ghetto,5,6.8373
germany,5,6.8373
gay relationship,5,6.8373
gadget,5,6.8373
fraud,5,6.8373
flood,5,6.8373
flight attendant,5,6.8373
fish out of water,5,6.8373
fish,5,6.8373
femme fatale,5,6.8373
female warrior,5,6.8373
fan,5,6.8373
false accusation,5,6.8373
face slap,5,6.8373
f word,5,6.8373
elevator,5,6.8373
egypt,5,6.8373
earthquake,5,6.8373
dwarf,5,6.8373
duel,5,6.8373
driver,5,6.8373
dream sequence,5,6.8373
dog movie,5,6.8373
directed by star,5,6.8373
diary,5,6.8373
destiny,5,6.8373
demonic possession,5,6.8373
deception,5,6.8373
dc comics,5,6.8373
darkness,5,6.8373
cunnilingus,5,6.8373
crocodile,5,6.8373
crime boss,5,6.8373
crash,5,6.8373
cover up,5,6.8373
courtroom,5,6.8373
court,5,6.8373
countess,5,6.8373
comedian,5,6.8373
colombia,5,6.8373
civil rights,5,6.8373
chocolate,5,6.8373
chipmunk,5,6.8373
championship,5,6.8373
cattle,5,6.8373
cannibalism,5,6.8373
camera shot of feet,5,6.8373
butler,5,6.8373
brazil,5,6.8373
blaxploitation,5,6.8373
biker,5,6.8373
beauty pageant,5,6.8373
basement,5,6.8373
based on young adult novel,5,6.8373
based on tv series,5,6.8373
based on short film,5,6.8373
bare chested male bondage,5,6.8373
bare butt,5,6.8373
bank robbery,5,6.8373
bail,5,6.8373
arms dealer,5,6.8373
apprentice,5,6.8373
anthology,5,6.8373
animal in title,5,6.8373
anger,5,6.8373
ambiguous ending,5,6.8373
alzheimer's disease,5,6.8373
alcoholism,5,6.8373
alabama,5,6.8373
airplane,5,6.8373
aging,5,6.8373
affair,5,6.8373
abusive husband,5,6.8373
abuse,5,6.8373
abortion,5,6.8373
1800s,5,6.8373
17th century,5,6.8373
Robert De Niro,48,4.5756
Johnny Depp,36,4.8633
Nicolas Cage,32,4.9810
Matt Damon,29,5.0795
J.K. Simmons,29,5.0795
Denzel Washington,29,5.0795
Bruce Willis,28,5.1146
Steve Buscemi,27,5.1509
Robin Williams,27,5.1509
Harrison Ford,27,5.1509
Robert Downey Jr.,26,5.1887
Liam Neeson,26,5.1887
Bill Murray,26,5.1887
Jason Statham,25,5.2279
Tom Hanks,24,5.2687
Tom Cruise,24,5.2687
Morgan Freeman,23,5.3113
Kevin Spacey,22,5.3557
Keanu Reeves,22,5.3557
Gerard Butler,22,5.3557
Christian Bale,22,5.3557
Anthony Hopkins,21,5.4022
Will Ferrell,20,5.4510
Sylvester Stallone,20,5.4510
Scarlett Johansson,20,5.4510
Philip Seymour Hoffman,20,5.4510
Matthew McConaughey,20,5.4510
Leonardo DiCaprio,20,5.4510
Will Smith,19,5.5023
Hugh Jackman,18,5.5564
Channing Tatum,18,5.5564
Brad Pitt,18,5.5564
Julia Roberts,17,5.6136
Jeff Bridges,17,5.6136
Dwayne Johnson,17,5.6136
Ryan Reynolds,16,5.6742
Ryan Gosling,16,5.6742
Paul Walker,16,5.6742
Joseph Gordon-Levitt,16,5.6742
Jim Broadbent,16,5.6742
Clint Eastwood,16,5.6742
Natalie Portman,15,5.7387
Milla Jovovich,15,5.7387
Jennifer Lawrence,15,5.7387
Jake Gyllenhaal,15,5.7387
Colin Firth,15,5.7387
Angelina Jolie Pitt,15,5.7387
Al Pacino,15,5.7387
Naomi Watts,14,5.8077
Kate Winslet,14,5.8077
James Franco,14,5.8077
Chris Hemsworth,14,5.8077
Adam Sandler,14,5.8077
Meryl Streep,13,5.8818
Kristen Stewart,13,5.8818
Judy Greer,13,5.8818
Dennis Quaid,13,5.8818
Bradley Cooper,13,5.8818
Viggo Mortensen,12,5.9619
Brendan Fraser,12,5.9619
Vin Diesel,11,6.0489
Tom Wilkinson,11,6.0489
Rosario Dawson,11,6.0489
Peter Dinklage,11,6.0489
Matthew Broderick,11,6.0489
Emma Stone,11,6.0489
Chloë Grace Moretz,11,6.0489
Bruce Greenwood,11,6.0489
Bernie Mac,11,6.0489
Anne Hathaway,11,6.0489
Woody Allen,10,6.1442
Tom Hardy,10,6.1442
Steve Carell,10,6.1442
Salma Hayek,10,6.1442
Robin Wright,10,6.1442
Oliver Platt,10,6.1442
Michael Fassbender,10,6.1442
Kirsten Dunst,10,6.1442
Josh Hutcherson,10,6.1442
Gary Oldman,10,6.1442
Zooey Deschanel,9,6.2495
Sarah Michelle Gellar,9,6.2495
Robert Duvall,9,6.2495
Ray Winstone,9,6.2495
Michael Biehn,9,6.2495
Martin Landau,9,6.2495
Jon Favreau,9,6.2495
Jeremy Renner,9,6.2495
Jennifer Garner,9,6.2495
Jamie Lee Curtis,9,6.2495
Don Cheadle,9,6.2495
Christopher Lee,9,6.2495
Chris Evans,9,6.2495
Bob Hoskins,9,6.2495
Alfre Woodard,9,6.2495
Alexa PenaVega,9,6.2495
Mila Kunis,8,6.3673
Michael Jai White,8,6.3673
Leonard Nimoy,8,6.3673
Jimmy Bennett,8,6.3673
Jet Li,8,6.3673
Jennifer Jason Leigh,8,6.3673
Djimon Hounsou,8,6.3673
Anjelica Huston,8,6.3673
Amy Poehler,8,6.3673
Alyson Hannigan,8,6.3673
Alan Rickman,8,6.3673
Adam Scott,8,6.3673
Vivica A. Fox,7,6.5009
Robert Pattinson,7,6.5009
Radha Mitchell,7,6.5009
Mo'Nique,7,6.5009
Minnie Driver,7,6.5009
Logan Lerman,7,6.5009
Justin Timberlake,7,6.5009
Jon Lovitz,7,6.5009
