ID;Title;Year;IMDb;Duration;Director;Actor;Genre;Keywords
2751;Rent;2005;7.0;135;Chris Columbus;Rosario Dawson;Drama|Musical|Romance;lawyer|new york city|roommate
2752;Repo Man;1984;6.9;92;Alex Cox;Del Zamora;Comedy|Crime|Sci-Fi|Thriller;ufo
2753;Repo Men;2010;6.3;119;Miguel Sapochnik;Alice Braga;Action|Crime|Sci-Fi|Thriller;best friend|future
2754;Repo! The Genetic Opera;2008;6.7;150;Darren Lynn Bousman;Alexa PenaVega;Horror|Musical|Sci-Fi;future|murder|opera|surgery
2755;Requiem for a Dream;2000;8.4;102;Darren Aronofsky;Ellen Burstyn;Drama;heroin
2756;Rescue Dawn;2006;7.3;120;Werner Herzog;Christian Bale;Adventure|Biography|Drama|War;guard|jungle|prisoner
2757;Reservoir Dogs;1992;8.4;99;Quentin Tarantino;Quentin Tarantino;Crime|Drama|Thriller;gang|heist|nonlinear timeline|robbery
2758;Resident Evil: Afterlife;2010;5.9;97;Paul W.S. Anderson;Milla Jovovich;Action|Adventure|Horror|Sci-Fi;alaska|ship
2759;Resident Evil: Apocalypse;2004;6.2;98;Alexander Witt;Milla Jovovich;Action|Horror|Sci-Fi|Thriller;cover up|monster|strong female character|strong female lead|zombie apocalypse
2760;Resident Evil: Extinction;2007;6.3;94;Russell Mulcahy;Milla Jovovich;Action|Horror|Sci-Fi|Thriller;clone|desert|satellite
2761;Resident Evil: Retribution;2012;5.4;96;Paul W.S. Anderson;Milla Jovovich;Action|Horror|Sci-Fi|Thriller;corporation|fight|rescue|zombie
2762;Resident Evil;2002;6.7;100;Paul W.S. Anderson;Milla Jovovich;Action|Horror|Sci-Fi;amnesia|special forces|virus|zombie
2763;Restless;2012;7.2;180;Edward Hall;Rufus Sewell;Drama|Romance;espionage|motel|mother son relationship
2764;Resurrecting the Champ;2007;6.8;112;Rod Lurie;Harry Lennix;Drama|Sport;boxing|reporter|writer
2765;Return of the Living Dead III;1993;5.9;97;Brian Yuzna;Melinda Clarke;Horror|Romance|Sci-Fi;female nudity|sequel|zombie
2766;Return to Me;2000;6.9;115;Bonnie Hunt;Minnie Driver;Comedy|Drama|Romance;heart|restaurant|waitress
2767;Return to Never Land;2002;5.8;72;Robin Budd;Roger Rees;Adventure|Animation|Family|Fantasy;1940s|rescue|sequel
2768;Return to Oz;1985;6.7;109;Walter Murch;Piper Laurie;Adventure|Family|Fantasy|Horror|Mystery;chicken|doctor|king
2769;Return to the Blue Lagoon;1991;5.1;102;William A. Graham;Milla Jovovich;Adventure|Drama|Romance;baby|island|sequel|teenage girl
2770;Revolutionary Road;2008;7.3;119;Sam Mendes;Leonardo DiCaprio;Drama|Romance;based on novel|children|suburb
2771;Richard III;1995;7.5;104;Richard Loncraine;Robert Downey Jr.;Drama|War;1930s|england|king|murder
2772;Riddick;2013;6.4;127;David Twohy;Vin Diesel;Action|Sci-Fi|Thriller;alien|mercenary|survival|vomiting
2773;Ride Along 2;2016;5.9;102;Tim Story;Olivia Munn;Action|Comedy;computer hacker|crime boss|detective|drugs|wedding
2774;Ride Along;2014;6.2;99;Tim Story;Bruce McGill;Action|Comedy|Crime|Romance;police|security guard
2775;Ride with the Devil;1999;6.8;148;Ang Lee;Jeremy W. Auman;Drama|Romance|War|Western;friend|honor|kansas
2776;Riding Giants;2004;7.9;105;Stacy Peralta;Gerry Lopez;Documentary|History|Sport;beach|surfing|two word title
2777;Riding in Cars with Boys;2001;6.4;132;Penny Marshall;Rosie Perez;Biography|Comedy|Drama;boy|college|heroin|working class|writer
2778;Righteous Kill;2008;6.0;101;Jon Avnet;Robert De Niro;Action|Crime|Drama|Mystery|Thriller;blood splatter|new york city|serial killer
2779;Rio 2;2014;6.4;101;Carlos Saldanha;Miguel Ferrer;Adventure|Animation|Comedy|Family|Musical;bird|jungle|no opening credits
2780;Rio;2011;7.0;96;Carlos Saldanha;Anne Hathaway;Adventure|Animation|Comedy|Family|Musical;bird
2781;Ripley's Game;2002;6.7;110;Liliana Cavani;Ray Winstone;Crime|Drama|Mystery|Thriller;concert|dying
2782;Rise of the Entrepreneur: The Search for a Better Way;2014;8.2;52;Joe Kenemore;Bob Proctor;Documentary;business
2783;Rise of the Guardians;2012;7.3;97;Peter Ramsey;Hugh Jackman;Adventure|Animation|Family|Fantasy;box office hit|children|new york city
2784;Rise of the Planet of the Apes;2011;7.6;105;Rupert Wyatt;James Franco;Action|Drama|Sci-Fi|Thriller;alzheimer's disease|ape|fire
2785;Risen;2016;6.3;107;Kevin Reynolds;Peter Firth;Action|Adventure|Drama|Mystery;
2786;River's Edge;1986;7.1;99;Tim Hunter;Keanu Reeves;Crime|Drama;death|friend|high school|murder|police
2787;Rize;2005;7.1;86;David LaChapelle;Kevin Scott Richardson;Documentary|Music;dance|gang
2788;Ri¢hie Ri¢h;1994;5.2;95;Donald Petrie;Macaulay Culkin;Comedy|Family;based on comic book|wealth
2789;Road Hard;2015;6.1;98;Adam Carolla;Jay Mohr;Comedy;girl in panties|panties
2790;Road House;1989;6.5;114;Rowdy Herrington;Ben Gazzara;Action|Thriller;bikini|cult film|martial arts|violence
2791;Road Trip;2000;6.5;94;Todd Phillips;Ethan Suplee;Comedy;college|friend|highway travel|road trip
2792;Road to Perdition;2002;7.7;117;Sam Mendes;Tom Hanks;Crime|Drama|Thriller;1930s|blood|gun|on the run|revenge
2793;Roadside Romeo;2008;5.3;93;Jugal Hansraj;Saif Ali Khan;Animation|Comedy|Family|Romance;india|love|love at first sight
2794;Roadside;2013;4.1;81;Eric England;Jack E. Curenton;Drama|Horror|Mystery|Thriller;dog|gun|hostage|husband wife relationship|jealousy
2795;Roar;1981;6.4;102;Noel Marshall;Tippi Hedren;Adventure|Horror|Thriller;chase|jungle
2796;Rob Roy;1995;6.9;139;Michael Caton-Jones;Liam Neeson;Adventure|Biography;18th century|scotland
2797;Robin Hood: Prince of Thieves;1991;6.9;155;Kevin Reynolds;Alan Rickman;Action|Adventure|Drama|Romance;england|king
2798;Robin Hood;2010;6.7;156;Ridley Scott;Mark Addy;Action|Adventure|Drama|History;england
2799;Robin and Marian;1976;6.6;106;Richard Lester;Robert Shaw;Adventure|Drama|Romance;sheriff
2800;RoboCop 3;1993;3.9;104;Fred Dekker;CCH Pounder;Action|Crime|Sci-Fi|Thriller;android|corporation|ninja|police
2801;RoboCop;2014;6.2;117;José Padilha;Gary Oldman;Action|Crime|Sci-Fi|Thriller;police|robot|technology
2802;Robot & Frank;2012;7.1;89;Jake Schreier;Frank Langella;Comedy|Crime|Drama|Sci-Fi;robot|thief
2803;Robots;2005;6.3;91;Chris Wedge;Jim Broadbent;Adventure|Animation|Comedy|Family|Sci-Fi;box office hit|robot
2804;Rock Star;2001;6.2;105;Stephen Herek;Beth Grant;Drama|Music;
2805;Rock of Ages;2012;5.9;136;Adam Shankman;James Martin Kelly;Comedy|Drama|Musical|Romance;concert|love|panties
2806;Rockaway;2007;4.6;90;Jeff Crook;Nicholas Gonzalez;Action|Crime|Drama|Thriller;one word title
2807;Rocket Singh: Salesman of the Year;2009;7.5;150;Shimit Amin;Ranbir Kapoor;Comedy|Drama;boss|computer|salesman
2808;RocknRolla;2008;7.3;114;Guy Ritchie;Tom Hardy;Action|Crime|Thriller;accountant|homosexual|painting
2809;Rocky Balboa;2006;7.2;139;Sylvester Stallone;Sylvester Stallone;Drama|Sport;boxing|fight|restaurant
2810;Rocky;1976;8.1;145;John G. Avildsen;Sylvester Stallone;Drama|Sport;boxer|protective male|training
2811;Roger & Me;1989;7.5;91;Michael Moore;Michael Moore;Documentary;factory|michigan|quest
2812;Role Models;2008;6.9;101;David Wain;Joe Lo Truglio;Comedy;
2813;Roll Bounce;2005;6.0;112;Malcolm D. Lee;Jurnee Smollett-Bell;Comedy|Drama|Music|Romance;1970s|boy|competition
2814;Rollerball;2002;3.0;98;John McTiernan;LL Cool J;Action|Sci-Fi|Sport;blood|song
2815;Romance & Cigarettes;2005;6.3;105;John Turturro;Kate Winslet;Comedy|Musical|Romance;death|dream|poem|sex
2816;Romeo + Juliet;1996;6.8;120;Baz Luhrmann;Leonardo DiCaprio;Drama|Romance;love
2817;Romeo Is Bleeding;1993;6.6;100;Peter Medak;Gary Oldman;Action|Crime|Drama|Thriller;detective|police|russian|sergeant
2818;Romeo Must Die;2000;6.1;115;Andrzej Bartkowiak;Jet Li;Action|Crime|Thriller;death|hong kong|kung fu|prison
2819;Ronin;1998;7.3;122;John Frankenheimer;Robert De Niro;Action|Adventure|Crime|Thriller;russian
2820;Room;2015;8.3;118;Lenny Abrahamson;Joan Allen;Drama;based on novel|escape|kidnapping|mother son relationship
2821;Rosemary's Baby;1968;8.0;136;Roman Polanski;John Cassavetes;Drama|Horror;paranoia
2822;Rosewater;2014;6.6;103;Jon Stewart;Numan Acar;Biography|Drama;based on true story|prison
2823;Rotor DR1;2015;3.4;98;Chad Kapper;Tom E. Nicholson;Family|Sci-Fi;post apocalypse|road trip
2824;Rounders;1998;7.4;121;John Dahl;Matt Damon;Crime|Drama;breasts|cult film|loan shark
2825;Royal Kill;2009;3.2;90;Babar Ahmed;Lalaine;Action|Thriller;assassin|kingdom|martial arts|mission
2826;Rubber;2010;5.8;82;Quentin Dupieux;Haley Ramm;Comedy|Fantasy|Horror;desert
2827;Ruby in Paradise;1993;7.2;114;Victor Nunez;Allison Dean;Drama|Romance;florida|identity
2828;Rudderless;2014;7.5;105;William H. Macy;Billy Crudup;Comedy|Drama|Music;guitar
2829;Rugrats Go Wild;2003;5.6;80;John Eng;Elizabeth Daily;Adventure|Animation|Comedy|Family|Fantasy|Musical;
2830;Rugrats in Paris: The Movie;2000;6.1;78;Stig Bergqvist;Elizabeth Daily;Adventure|Animation|Comedy|Family|Romance;amusement park|baby|france|paris france|villain
2831;Rumble in the Bronx;1995;6.7;89;Stanley Tong;Françoise Yip;Action|Comedy;fight|gang|wedding
2832;Run All Night;2015;6.6;114;Jaume Collet-Serra;Liam Neeson;Action|Crime|Drama|Thriller;death|drug dealer
2833;Run Lola Run;1998;7.8;81;Tom Tykwer;Moritz Bleibtreu;Crime|Drama;money|subway
2834;Run, Fatboy, Run;2007;6.6;100;David Schwimmer;Dylan Moran;Comedy|Romance|Sport;gym|training|wedding
2835;Runaway Bride;1999;5.5;116;Garry Marshall;Julia Roberts;Comedy|Romance;bride|journalist|wedding
2836;Runner Runner;2013;5.6;88;Brad Furman;Justin Timberlake;Crime|Thriller;fbi agent|gambling|money
2837;Running Scared;2006;7.4;122;Wayne Kramer;Paul Walker;Action|Crime|Drama|Thriller;gangster
2838;Running with Scissors;2006;6.2;122;Ryan Murphy;Jill Clayburgh;Comedy|Drama;alcoholic|fame|therapist|writer|writing
2839;Rush Hour 2;2001;6.6;90;Brett Ratner;Mei Melançon;Action|Comedy|Crime|Thriller;boat|gang|hong kong|triad|vacation
2840;Rush Hour 3;2007;6.2;91;Brett Ratner;Tzi Ma;Action|Comedy|Crime|Thriller;ambassador|assassination|chinese|french|triad
2841;Rushmore;1998;7.7;93;Wes Anderson;Bill Murray;Comedy|Drama;coming of age|friendship|private school|student|teacher
2842;Rush;2013;8.1;123;Ron Howard;Chris Hemsworth;Action|Biography|Drama|Sport;1970s|female rear nudity|rivalry
2843;S.W.A.T.;2003;6.0;117;Clark Johnson;Jeremy Renner;Action|Adventure|Crime|Thriller;hostage|police|prison|training
2844;Sabotage;2014;5.7;109;David Ayer;Mireille Enos;Action|Crime|Drama|Thriller;dea|drug cartel|strip club|tough girl
2845;Safe Haven;2013;6.7;115;Lasse Hallström;David Lyons;Drama|Romance|Thriller;abusive husband|chick flick|north carolina|secret|widower
2846;Safe House;2012;6.8;115;Daniel Espinosa;Denzel Washington;Action|Crime|Mystery|Thriller;cia|cia agent|on the run
2847;Safe Men;1998;6.1;88;John Hamburg;Harvey Fierstein;Comedy|Crime;gangster|organized crime|robbery
2848;Safety Not Guaranteed;2012;7.0;86;Colin Trevorrow;Mary Lynn Rajskub;Comedy|Drama|Romance;magazine|time machine|time travel
2849;Safe;2012;6.5;94;Boaz Yakin;Jason Statham;Action|Crime|Thriller;bodyguard|russian|triad
2850;Sahara;2005;6.0;124;Breck Eisner;Matthew McConaughey;Action|Adventure|Comedy|Thriller;beach|civil war|desert|dictator|ship
2851;Saint John of Las Vegas;2009;5.8;85;Hue Rhodes;Peter Dinklage;Comedy|Drama;male frontal nudity|place name in title
2852;Saint Ralph;2004;7.6;98;Michael McGowan;Campbell Scott;Comedy|Drama|Sport;coma
2853;Saints and Soldiers;2003;6.8;90;Ryan Little;Corbin Allred;Action|Adventure|Drama|War;winter
2854;Salt;2010;6.4;101;Phillip Noyce;Angelina Jolie Pitt;Action|Crime|Mystery|Thriller;cia|on the run|russian|strong female lead
2855;Salvador;1986;7.5;122;Oliver Stone;Jim Belushi;Drama|History|Thriller|War;1980s|political thriller
2856;Salvation Boulevard;2011;5.3;96;George Ratliff;Jim Gaffigan;Action|Comedy|Drama|Thriller;pastor|security guard|shower
2857;Samsara;2011;8.5;102;Ron Fricke;Collin Alfredo St. Dic;Documentary|Music;
2858;San Andreas;2015;6.1;114;Brad Peyton;Dwayne Johnson;Action|Adventure|Drama|Thriller;earthquake|journey
2859;Sanctuary: Quite a Conundrum;2012;5.4;82;Thomas L. Phillips;Julianna Pitt;Comedy|Horror|Thriller;nudity|party|pirate|three word title
2860;Sanctum;2011;5.9;108;Alister Grierson;Ioan Gruffudd;Adventure|Drama|Thriller;cave|expedition
2861;Sands of Iwo Jima;1949;7.2;109;Allan Dwan;James Brown;Action|Drama|Romance|War;battle|combat|sergeant
2862;Sarah's Key;2010;7.5;111;Gilles Paquet-Brenner;Kristin Scott Thomas;Drama|War;apartment|escape|journalist|key
2863;Sausage Party;2016;7.5;89;Greg Tiernan;James Franco;Adventure|Animation|Comedy|Fantasy;f word
2864;Savage Grace;2007;5.9;97;Tom Kalin;Eddie Redmayne;Drama;male nudity
2865;Savages;2012;6.5;141;Oliver Stone;Demián Bichir;Crime|Drama|Thriller;dea|marijuana
2866;Save the Last Dance;2001;6.1;112;Thomas Carter;Sean Patrick Thomas;Drama|Music|Romance;dance|dancing|ghetto|hip hop
2867;Saved!;2004;6.9;92;Brian Dannelly;Macaulay Culkin;Comedy|Drama;christian|jewish|pastor|school|virginity
2868;Saving Face;2004;7.6;96;Alice Wu;Joan Chen;Comedy|Drama|Romance;chinese|mother daughter relationship
2869;Saving Mr. Banks;2013;7.5;125;John Lee Hancock;Tom Hanks;Biography|Comedy|Drama|History|Music;author|disney|loss of father
2870;Saving Private Perez;2011;6.0;105;Beto Gómez;Jaime Camil;Adventure|Comedy|Western;flashback|mission|rescue
2871;Saving Private Ryan;1998;8.6;169;Steven Spielberg;Tom Hanks;Action|Drama|War;army|invasion|soldier
2872;Saving Silverman;2001;5.9;96;Dennis Dugan;Amanda Detmer;Comedy|Crime|Romance;female nudity|friend|kidnapping|love|nun
2873;Saw 3D: The Final Chapter;2010;5.6;90;Kevin Greutert;Costas Mandylor;Horror|Mystery;blood splatter|sequel|survivor
2874;Saw III;2006;6.2;121;Darren Lynn Bousman;Costas Mandylor;Horror|Mystery;female full frontal nudity|female nudity|torture|trap
2875;Saw II;2005;6.6;95;Darren Lynn Bousman;Emmanuelle Vaugier;Horror|Mystery;death|detective|serial killer|trap
2876;Saw IV;2007;5.9;96;Darren Lynn Bousman;Costas Mandylor;Horror|Mystery;detective|fbi|rape
2877;Saw VI;2009;6.0;92;Kevin Greutert;Costas Mandylor;Horror|Mystery;deception
2878;Saw V;2008;5.8;95;David Hackl;Julie Benz;Horror|Mystery;blood splatter|nazi|serial killer
2879;Saw;2004;7.7;103;James Wan;Michael Emerson;Horror|Mystery|Thriller;flashback|killer|serial killer|surprise ending
2880;Say It Isn't So;2001;4.9;95;J.B. Rogers;Eddie Cibrian;Comedy|Romance;wedding
2881;Scarface;1983;8.3;142;Brian De Palma;Al Pacino;Crime|Drama;cocaine
2882;Scary Movie 2;2001;5.2;83;Keenen Ivory Wayans;Natasha Lyonne;Comedy;demon|exorcism|priest|professor
2883;Scary Movie 3;2003;5.5;84;David Zucker;Regina Hall;Comedy;farm
2884;Scary Movie 4;2006;5.1;89;David Zucker;Beau Mirchoff;Comedy;female nudity|male nudity|parody|sequel
2885;Scary Movie 5;2013;3.5;88;Malcolm D. Lee;Marisa Saks;Comedy;ape|ballet|psychic|supernatural
2886;Schindler's List;1993;8.9;185;Steven Spielberg;Liam Neeson;Biography|Drama|History;german|jew|jewish|nazi
2887;School Daze;1988;5.8;121;Spike Lee;Tisha Campbell-Martin;Comedy|Drama|Musical;college|fraternity|sorority
2888;School for Scoundrels;2006;5.9;108;Todd Phillips;Jon Heder;Comedy;
2889;School of Rock;2003;7.1;108;Richard Linklater;Miranda Cosgrove;Comedy|Music;rock band|teacher
2890;Scooby-Doo 2: Monsters Unleashed;2004;4.9;93;Raja Gosnell;Sarah Michelle Gellar;Adventure|Comedy|Family|Fantasy|Horror|Mystery;ghost|monster|museum
2891;Scooby-Doo;2002;4.9;86;Raja Gosnell;Sarah Michelle Gellar;Adventure|Comedy|Mystery;amusement park|island|motorcycle|tough girl
2892;Scoop;2006;6.7;96;Woody Allen;Scarlett Johansson;Comedy|Crime|Mystery;
2893;Scott Pilgrim vs. the World;2010;7.5;112;Edgar Wright;Anna Kendrick;Action|Comedy|Fantasy|Romance;band|dating|high school|rock band
2894;Scott Walker: 30 Century Man;2006;7.3;95;Stephen Kijak;Brian Eno;Biography|Documentary|Music;character name in title|musician|number in title
2895;Scream 2;1997;6.1;120;Wes Craven;Omar Epps;Horror|Mystery;college|killer|murder
2896;Scream 3;2000;5.5;116;Wes Craven;Kelly Rutherford;Horror|Mystery;death|murder|survivor
2897;Scream 4;2011;6.2;111;Wes Craven;Alison Brie;Horror|Mystery;author|book|deputy|murder|sheriff
2898;Scream;1996;7.2;103;Wes Craven;David Arquette;Horror|Mystery;mask|slasher|teenage girl|telephone
2899;Screwed;2000;5.7;81;Scott Alexander;Sarah Silverman;Comedy|Crime;dog|ransom
2900;Scrooged;1988;7.0;101;Richard Donner;Bill Murray;Comedy|Drama|Fantasy;christmas|ghost|redemption
2901;Se7en;1995;8.6;127;David Fincher;Morgan Freeman;Crime|Drama|Mystery|Thriller;detective|serial killer
2902;Sea Rex 3D: Journey to a Prehistoric World;2010;6.9;41;Ronan Chapalain;Norbert Ferrer;Documentary;sea|water
2903;Sea of Love;1989;6.8;113;Harold Becker;Al Pacino;Crime|Drama|Mystery|Thriller;detective|love|suspect
2904;Seabiscuit;2003;7.3;140;Gary Ross;Jeff Bridges;Drama|History|Sport;horse
2905;Secondhand Lions;2003;7.6;111;Tim McCanlies;Haley Joel Osment;Comedy|Drama|Family;africa|money|texas|veteran
2906;Secret Window;2004;6.6;96;David Koepp;Johnny Depp;Mystery|Thriller;adultery|infidelity|unfaithfulness|writer
2907;Secret in Their Eyes;2015;6.2;111;Billy Ray;Julia Roberts;Crime|Drama|Mystery|Thriller;police|secret
2908;Secretariat;2010;7.2;123;Randall Wallace;Scott Glenn;Biography|Drama|Family|History|Sport;eccentric
2909;Secretary;2002;7.1;104;Steven Shainberg;Jeremy Davies;Comedy|Drama|Romance;hospital|secretary
2910;See Spot Run;2001;5.4;94;John Whitesell;Leslie Bibb;Action|Comedy|Crime|Family;boy|fbi|van
2911;Seed of Chucky;2004;4.9;88;Don Mancini;Jason Flemyng;Comedy|Fantasy|Horror|Thriller;actress|murder|vomiting
2912;Seeking a Friend for the End of the World;2012;6.7;101;Lorene Scafaria;Steve Carell;Adventure|Comedy|Drama|Romance|Sci-Fi;letter|road trip
2913;Selena;1997;6.7;127;Gregory Nava;Jon Seda;Biography|Drama|Music;marriage|singer
2914;Self/less;2015;6.5;117;Tarsem Singh;Ryan Reynolds;Action|Mystery|Sci-Fi|Thriller;cancer|funeral
2915;Selma;2014;7.5;128;Ava DuVernay;David Oyelowo;Biography|Drama|History;civil rights|protest
2916;Semi-Pro;2008;5.8;99;Kent Alterman;Will Ferrell;Comedy|Sport;michigan|team
2917;Sense and Sensibility;1995;7.7;136;Ang Lee;Alan Rickman;Drama|Romance;female protagonist|horseback riding|inheritance|three word title
2918;September Dawn;2007;5.8;111;Christopher Cain;Jon Gries;Drama|History|Romance|Western;massacre|mormon|utah
2919;Serendipity;2001;6.9;82;Peter Chelsom;Lilli Lavine;Comedy|Romance;christmas|destiny|love
2920;Serenity;2005;8.0;119;Joss Whedon;Adam Baldwin;Action|Adventure|Sci-Fi|Thriller;cannibalism|future|planet
2921;Serial Mom;1994;6.7;95;John Waters;Kathleen Turner;Comedy|Crime|Thriller;dentist|murder
2922;Serving Sara;2002;5.3;99;Reginald Hudlin;Matthew Perry;Comedy|Romance;divorce|new york|texas
2923;Session 9;2001;6.5;100;Brad Anderson;Paul Guilfoyle;Horror|Mystery;
2924;Set It Off;1996;6.8;123;F. Gary Gray;Vivica A. Fox;Action|Crime|Drama|Romance|Thriller;bank|black comedy|money|robbery
2925;Seven Pounds;2008;7.7;123;Gabriele Muccino;Will Smith;Drama|Romance;boyfriend girlfriend relationship|heart|redemption
2926;Seven Psychopaths;2012;7.2;110;Martin McDonagh;Abbie Cornish;Comedy|Crime;gangster
2927;Seven Samurai;1954;8.7;202;Akira Kurosawa;Takashi Shimura;Action|Adventure|Drama;battle|japan|samurai
2928;Seven Years in Tibet;1997;7.0;136;Jean-Jacques Annaud;Brad Pitt;Adventure|Biography|Drama|History|War;mountain
2929;Seventh Son;2014;5.5;102;Sergey Bodrov;Jeff Bridges;Action|Adventure|Fantasy;apprentice|demon|exorcism|witch
2930;Severance;2006;6.6;90;Christopher Smith;Danny Dyer;Comedy|Horror|Thriller;blood splatter|female nudity
2931;Sex Drive;2008;6.5;129;Sean Anders;Katrina Bowden;Adventure|Comedy|Romance;friend|friendship|high school|virgin
2932;Sex Tape;2014;5.1;94;Jake Kasdan;James Wilcox;Comedy;sexuality
2933;Sex and the City 2;2010;4.3;146;Michael Patrick King;Chris Noth;Comedy|Drama|Romance;box office hit|muslim|nanny
2934;Sex, Lies, and Videotape;1989;7.2;100;Steven Soderbergh;Peter Gallagher;Drama;affair|interview|marriage|sex
2935;Sexy Beast;2000;7.3;89;Jonathan Glazer;Ray Winstone;Crime|Thriller;gangster|spain
2936;Sgt. Bilko;1996;5.7;93;Jonathan Lynn;Austin Pendleton;Comedy;military|revenge|soldier
2937;Shade;2003;6.4;101;Damian Nieman;Glenn Plummer;Crime|Thriller;bar|strip club|stripper
2938;Shadow Conspiracy;1997;4.9;103;George P. Cosmatos;Sam Waterston;Action|Thriller;assassin|conspiracy|president|white house
2939;Shadow of the Vampire;2000;6.9;92;E. Elias Merhige;Eddie Izzard;Drama|Horror;actor|breasts|vampire
2940;Shadowlands;1993;7.4;115;Richard Attenborough;Anthony Hopkins;Biography|Drama|Romance;author|book|england|friend
2941;Shaft;2000;5.9;99;John Singleton;Christian Bale;Action|Crime|Thriller;blaxploitation|detective|drugs|trial
2942;Shakespeare in Love;1998;7.2;123;John Madden;Tom Wilkinson;Comedy|Drama|Romance;actor|audition|playwright
2943;Shalako;1968;5.5;113;Edward Dmytryk;Brigitte Bardot;Western;bare chested male bondage|female frontal nudity
2944;Shall We Dance;2004;6.1;106;Peter Chelsom;Lisa Ann Walter;Comedy|Drama|Romance;dance|love|teacher
2945;Shallow Hal;2001;5.9;114;Bobby Farrelly;Jason Alexander;Comedy|Drama|Fantasy|Romance;dying|friend|love
2946;Shame;2011;7.3;101;Steve McQueen;Michael Fassbender;Drama;female frontal nudity|female nudity|male nudity
2947;Shanghai Knights;2003;6.2;114;David Dobkin;Fann Wong;Action|Adventure|Comedy;murder|revenge
2948;Shanghai Noon;2000;6.6;110;Tom Dey;Xander Berkeley;Action|Adventure|Comedy|Western;19th century|chinese|princess|rescue|travel
2949;Shanghai Surprise;1986;3.0;97;Jim Goddard;Victor Wong;Adventure|Crime|Drama|Romance;china|missionary|villain
2950;Shaolin Soccer;2001;7.3;85;Stephen Chow;Wei Zhao;Action|Comedy|Sport;cult film|kung fu|martial arts|soccer
2951;Shark Lake;2015;3.4;92;Jerry Dugan;Melissa Bolona;Thriller;blood|daughter|jail|police|shark
2952;Shark Night 3D;2011;4.0;90;David R. Ellis;Chris Zylka;Horror|Thriller;lake|louisiana|shark|vacation
2953;Shark Tale;2004;6.0;90;Bibo Bergeron;Robert De Niro;Adventure|Animation|Comedy|Family;fish|mobster|shark|vegetarian
2954;Sharknado;2013;3.3;97;Anthony C. Ferrante;Ian Ziering;Horror;cult film|shark
2955;Shattered Glass;2003;7.2;99;Billy Ray;Hayden Christensen;Drama|History;journalist|writer
2956;Shattered;2007;6.7;98;Mike Barker;Gerard Butler;Crime|Drama|Thriller;daughter|gun|nanny|sociopath|suburb
2957;Shaun of the Dead;2004;8.0;99;Edgar Wright;Peter Serafinowicz;Comedy|Horror;zombie|zombie apocalypse
2958;She Done Him Wrong;1933;6.5;66;Lowell Sherman;Mae West;Comedy|Drama|History|Musical|Romance;captain|marriage proposal|singer
2959;She Wore a Yellow Ribbon;1949;7.4;103;John Ford;Harry Carey Jr.;Western;captain|retirement
2960;She's All That;1999;5.8;95;Robert Iscove;Paul Walker;Comedy|Romance;friend|high school|prom
2961;She's Gotta Have It;1986;6.5;88;Spike Lee;S. Epatha Merkerson;Comedy|Romance;female nudity|nudity|sex
2962;She's Out of My League;2010;6.4;104;Jim Field Smith;Mike Vogel;Comedy|Romance;airport|love
2963;She's the Man;2006;6.4;105;Andy Fickman;Channing Tatum;Comedy|Romance;disguise|roommate|school|soccer|twin
2964;She's the One;1996;6.1;96;Edward Burns;John Mahoney;Comedy|Drama|Romance;claim in title|infidelity|love|sex
2965;Sheena;1984;4.8;117;John Guillermin;Tanya Roberts;Adventure|Fantasy;elephant|jungle|mercenary
2966;Sherlock Holmes: A Game of Shadows;2011;7.5;129;Guy Ritchie;Robert Downey Jr.;Action|Adventure|Crime|Mystery|Thriller;factory|investigation|train
2967;Sherlock Holmes;2009;7.6;128;Guy Ritchie;Robert Downey Jr.;Action|Adventure|Crime|Mystery|Thriller;
2968;Sherrybaby;2006;6.6;96;Laurie Collyer;Brad William Henke;Drama;
2969;Shine a Light;2008;7.2;122;Martin Scorsese;Mick Jagger;Biography|Documentary|Music;band|new york city|three word title
2970;Shine;1996;7.7;105;Scott Hicks;Noah Taylor;Biography|Drama|Music|Romance;abuse|australia|concert|piano
2971;Shinjuku Incident;2009;7.1;119;Tung-Shing Yee;Bingbing Fan;Action|Crime|Drama|Thriller;chinese|gang|immigrant|japan
2972;Shipwrecked;1990;6.7;92;Nils Gaup;Bjørn Sundquist;Adventure|Family;boy|island|pirate|ship|treasure
2973;Sholem Aleichem: Laughing in the Darkness;2011;6.8;93;Joseph Dorman;Rachel Dratch;Documentary;
2974;Shooter;2007;7.2;124;Antoine Fuqua;Tate Donovan;Action|Crime|Drama|Mystery|Thriller;colonel|on the run
2975;Shooting Fish;1997;6.6;99;Stefan Schwartz;Peter McNamara;Comedy|Crime|Romance;con artist|money|orphan|scam|secretary
2976;Shooting the Warwicks;2015;6.2;95;Adam Rifkin;Marri Savinar;Comedy|Drama;family relationships|husband wife relationship|nudity|reality
2977;Shopgirl;2005;6.4;106;Anand Tucker;Frances Conroy;Drama|Romance;artist|depression|photography|slacker
2978;Shortbus;2006;6.5;101;John Cameron Mitchell;Sook-Yin Lee;Comedy|Drama|Romance;male frontal nudity|oral sex
2979;Shorts;2009;4.9;89;Robert Rodriguez;Jimmy Bennett;Comedy|Family|Fantasy;boy|family relationships|twin
2980;Shotgun Stories;2007;7.3;92;Jeff Nichols;Michael Abbott Jr.;Drama|Thriller;bare chested male|shotgun|violence
