ID;Title;Year;IMDb;Duration;Director;Actor;Genre;Keywords
66;51 Birch Street;2005;7.5;90;Doug Block;Carol Block;Documentary;number in title
67;54;1998;5.8;121;Mark Christopher;Salma Hayek;Drama|Music;new york city
68;55 Days at Peking;1963;6.8;154;Nicholas Ray;Ava Gardner;Action|Adventure|Drama|History|War;ambassador|china
69;8 Heads in a Duffel Bag;1997;5.3;95;Tom Schulman;Kristy Swanson;Comedy|Crime;camera shot of feet|pantyhose
70;8 Mile;2002;7.0;110;Curtis Hanson;Mekhi Phifer;Drama|Music;competition|friend
71;8 Women;2002;7.1;111;François Ozon;Catherine Deneuve;Comedy|Crime|Musical|Romance;cook|secret|suspect
72;88 Minutes;2007;5.9;108;Jon Avnet;Al Pacino;Crime|Drama|Mystery|Thriller;death|fbi|murder|serial killer
73;8: The Mormon Proposition;2010;7.1;80;Reed Cowan;Dustin Lance Black;Documentary;church|marriage|mormon
74;8MM;1999;6.5;123;Joel Schumacher;Nicolas Cage;Mystery|Thriller;investigation|obsession
75;90 Minutes in Heaven;2015;4.6;121;Michael Polish;Hayden Christensen;Drama;heaven|hospital
76;9;2009;7.1;79;Shane Acker;Martin Landau;Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller;hope|key|machine
77;9½ Weeks;1986;5.9;112;Adrian Lyne;David Margulies;Drama|Romance;
78;A Beautiful Mind;2001;8.2;135;Ron Howard;Adam Goldberg;Biography|Drama;conspiracy|mental illness
79;A Better Life;2011;7.2;98;Chris Weitz;Demián Bichir;Drama|Romance;gang|money|police|truck
80;A Bridge Too Far;1977;7.4;175;Richard Attenborough;Ryan O'Neal;Drama|History|War;
81;A Bug's Life;1998;7.2;95;John Lasseter;Kevin Spacey;Adventure|Animation|Comedy|Family|Fantasy;circus|misunderstanding
82;A Charlie Brown Christmas;1965;8.4;25;Bill Melendez;Peter Robbins;Animation|Comedy|Family;christmas
83;A Christmas Carol;2009;6.8;96;Robert Zemeckis;Robin Wright;Animation|Drama|Family|Fantasy;christmas|christmas eve|ghost
84;A Christmas Story;1983;8.1;94;Bob Clark;Zack Ward;Comedy|Family;boy|bully|christmas
85;A Cinderella Story;2004;5.9;95;Mark Rosman;Dan Byrd;Comedy|Family|Romance;female protagonist|teenage girl
86;A Civil Action;1998;6.5;115;Steven Zaillian;Robert Duvall;Drama;1980s|lawyer
87;A Dangerous Method;2011;6.5;99;David Cronenberg;Michael Fassbender;Biography|Drama|Thriller;patient|russian
88;A Dog of Flanders;1999;6.3;100;Kevin Brodie;Bruce McGill;Drama|Family;artist|box office flop|dog
89;A Dog's Breakfast;2007;7.0;88;David Hewlett;Christopher Judge;Comedy;dog|vegetarian
90;A Farewell to Arms;1932;6.6;79;Frank Borzage;Gary Cooper;Drama|Romance|War;italy|lake|nurse
91;A Few Good Men;1992;7.6;138;Rob Reiner;Tom Cruise;Drama|Thriller;cuba|lawyer|murder
92;A Fistful of Dollars;1964;8.0;99;Sergio Leone;Clint Eastwood;Action|Drama|Western;bar|drifter|mexican|revenge
93;A Funny Thing Happened on the Way to the Forum;1966;7.0;99;Richard Lester;Buster Keaton;Comedy|Musical;freedom|virgin
94;A Good Day to Die Hard;2013;5.3;101;John Moore;Bruce Willis;Action|Thriller;bomb|cia|escape|russian
95;A Good Year;2006;6.9;117;Ridley Scott;Archie Panjabi;Comedy|Drama|Romance;based on novel|inheritance|uncle
96;A Guy Named Joe;1943;7.0;122;Victor Fleming;Spencer Tracy;Drama|Fantasy|Romance|War;heaven|pilot|teacher|training|world war two
97;A Guy Thing;2003;5.6;101;Chris Koch;Thomas Lennon;Comedy|Romance;bachelor party|taxi|wedding
98;A Hard Day's Night;1964;7.7;87;Richard Lester;Paul McCartney;Comedy|Musical;boy|concert|drummer|manager|television
99;A Haunted House 2;2014;4.7;86;Michael Tiddes;Ashley Rickards;Comedy|Fantasy;bare breasts|parody
100;A Haunted House;2013;5.1;86;Michael Tiddes;Essence Atkins;Comedy|Fantasy;parody|priest|psychic
